,Year,Week,Attendance,Team
7749,2014,15,68682.0,Denver Broncos
7750,2014,16,66107.0,Denver Broncos
7751,2014,17,76929.0,Denver Broncos
7752,2014,1,64401.0,Detroit Lions
7753,2014,2,73586.0,Detroit Lions
7754,2014,3,62418.0,Detroit Lions
7755,2014,4,78160.0,Detroit Lions
7756,2014,5,62775.0,Detroit Lions
7757,2014,6,52213.0,Detroit Lions
7758,2014,7,63271.0,Detroit Lions
7759,2014,8,83532.0,Detroit Lions
7760,2014,9,67582.63539030563,Detroit Lions
7761,2014,10,63179.0,Detroit Lions
7762,2014,11,62487.0,Detroit Lions
7763,2014,12,68756.0,Detroit Lions
7764,2014,13,64175.0,Detroit Lions
7765,2014,14,61489.0,Detroit Lions
7766,2014,15,62490.0,Detroit Lions
7767,2014,16,61420.0,Detroit Lions
7768,2014,17,78408.0,Detroit Lions
7769,2014,1,68424.0,Green Bay Packers
7770,2014,2,78041.0,Green Bay Packers
7771,2014,3,62418.0,Green Bay Packers
7772,2014,4,61736.0,Green Bay Packers
7773,2014,5,78054.0,Green Bay Packers
7774,2014,6,70875.0,Green Bay Packers
7775,2014,7,78106.0,Green Bay Packers
7776,2014,8,73146.0,Green Bay Packers
7777,2014,9,67582.63539030563,Green Bay Packers
7778,2014,10,78292.0,Green Bay Packers
7779,2014,11,78270.0,Green Bay Packers
7780,2014,12,52386.0,Green Bay Packers
7781,2014,13,78431.0,Green Bay Packers
7782,2014,14,77512.0,Green Bay Packers
7783,2014,15,70214.0,Green Bay Packers
7784,2014,16,64247.0,Green Bay Packers
7785,2014,17,78408.0,Green Bay Packers
7786,2014,1,71770.0,Houston Texans
7787,2014,2,54063.0,Houston Texans
7788,2014,3,77462.0,Houston Texans
7789,2014,4,71756.0,Houston Texans
7790,2014,5,91159.0,Houston Texans
7791,2014,6,71787.0,Houston Texans
7792,2014,7,56375.0,Houston Texans
7793,2014,8,69143.0,Houston Texans
7794,2014,9,71780.0,Houston Texans
7795,2014,10,67582.63539030563,Houston Texans
7796,2014,11,67431.0,Houston Texans
7797,2014,12,71777.0,Houston Texans
7798,2014,13,71714.0,Houston Texans
7799,2014,14,61070.0,Houston Texans
7800,2014,15,65148.0,Houston Texans
7801,2014,16,71771.0,Houston Texans
7802,2014,17,71777.0,Houston Texans
7803,2014,1,76939.0,Indianapolis Colts
7804,2014,2,64871.0,Indianapolis Colts
7805,2014,3,60601.0,Indianapolis Colts
7806,2014,4,64757.0,Indianapolis Colts
7807,2014,5,65258.0,Indianapolis Colts
7808,2014,6,71787.0,Indianapolis Colts
7809,2014,7,66539.0,Indianapolis Colts
7810,2014,8,62479.0,Indianapolis Colts
7811,2014,9,77975.0,Indianapolis Colts
7812,2014,10,67582.63539030563,Indianapolis Colts
7813,2014,11,66751.0,Indianapolis Colts
7814,2014,12,64328.0,Indianapolis Colts
7815,2014,13,65352.0,Indianapolis Colts
7816,2014,14,67431.0,Indianapolis Colts
7817,2014,15,65148.0,Indianapolis Colts
7818,2014,16,91899.0,Indianapolis Colts
7819,2014,17,69143.0,Indianapolis Colts
7820,2014,1,69596.0,Jacksonville Jaguars
7821,2014,2,80037.0,Jacksonville Jaguars
7822,2014,3,60601.0,Jacksonville Jaguars
7823,2014,4,56553.0,Jacksonville Jaguars
7824,2014,5,66198.0,Jacksonville Jaguars
7825,2014,6,69143.0,Jacksonville Jaguars
7826,2014,7,61341.0,Jacksonville Jaguars
7827,2014,8,65633.0,Jacksonville Jaguars
7828,2014,9,60057.0,Jacksonville Jaguars
7829,2014,10,83603.0,Jacksonville Jaguars
7830,2014,11,67582.63539030563,Jacksonville Jaguars
7831,2014,12,64328.0,Jacksonville Jaguars
7832,2014,13,64687.0,Jacksonville Jaguars
7833,2014,14,61070.0,Jacksonville Jaguars
7834,2014,15,70801.0,Jacksonville Jaguars
7835,2014,16,61202.0,Jacksonville Jaguars
7836,2014,17,71777.0,Jacksonville Jaguars
7837,2014,1,73569.0,Kansas City Chiefs
7838,2014,2,76900.0,Kansas City Chiefs
7839,2014,3,70313.0,Kansas City Chiefs
7840,2014,4,76613.0,Kansas City Chiefs
7841,2014,5,70799.0,Kansas City Chiefs
7842,2014,6,67582.63539030563,Kansas City Chiefs
7843,2014,7,65260.0,Kansas City Chiefs
7844,2014,8,75972.0,Kansas City Chiefs
7845,2014,9,74127.0,Kansas City Chiefs
7846,2014,10,68119.0,Kansas City Chiefs
7847,2014,11,76463.0,Kansas City Chiefs
7848,2014,12,52865.0,Kansas City Chiefs
7849,2014,13,76894.0,Kansas City Chiefs
7850,2014,14,62387.0,Kansas City Chiefs
7851,2014,15,72153.0,Kansas City Chiefs
7852,2014,16,60865.0,Kansas City Chiefs
7853,2014,17,73952.0,Kansas City Chiefs
7854,2014,1,70630.0,Miami Dolphins
7855,2014,2,69954.0,Miami Dolphins
7856,2014,3,70313.0,Miami Dolphins
7857,2014,4,83436.0,Miami Dolphins
7858,2014,5,67582.63539030563,Miami Dolphins
7859,2014,6,70875.0,Miami Dolphins
7860,2014,7,62413.0,Miami Dolphins
7861,2014,8,65633.0,Miami Dolphins
7862,2014,9,70222.0,Miami Dolphins
7863,2014,10,63179.0,Miami Dolphins
7864,2014,11,71573.0,Miami Dolphins
7865,2014,12,76987.0,Miami Dolphins
7866,2014,13,78160.0,Miami Dolphins
7867,2014,14,70244.0,Miami Dolphins
7868,2014,15,68756.0,Miami Dolphins
7869,2014,16,66203.0,Miami Dolphins
7870,2014,17,70220.0,Miami Dolphins
7871,2014,1,55919.0,Minnesota Vikings
7872,2014,2,52350.0,Minnesota Vikings
7873,2014,3,73005.0,Minnesota Vikings
7874,2014,4,52173.0,Minnesota Vikings
7875,2014,5,78054.0,Minnesota Vikings
7876,2014,6,52213.0,Minnesota Vikings
7877,2014,7,68477.0,Minnesota Vikings
7878,2014,8,56577.0,Minnesota Vikings
7879,2014,9,52252.0,Minnesota Vikings
7880,2014,10,67582.63539030563,Minnesota Vikings
7881,2014,11,61792.0,Minnesota Vikings
7882,2014,12,52386.0,Minnesota Vikings
7883,2014,13,52016.0,Minnesota Vikings
7884,2014,14,52152.0,Minnesota Vikings
7885,2014,15,62490.0,Minnesota Vikings
7886,2014,16,66203.0,Minnesota Vikings
7887,2014,17,52364.0,Minnesota Vikings
7888,2014,1,70630.0,New England Patriots
7889,2014,2,52350.0,New England Patriots
7890,2014,3,68756.0,New England Patriots
7891,2014,4,76613.0,New England Patriots
7892,2014,5,68756.0,New England Patriots
7893,2014,6,70185.0,New England Patriots
7894,2014,7,68756.0,New England Patriots
7895,2014,8,68756.0,New England Patriots
7896,2014,9,68756.0,New England Patriots
7897,2014,10,67582.63539030563,New England Patriots
7898,2014,11,66751.0,New England Patriots
7899,2014,12,68756.0,New England Patriots
7900,2014,13,78431.0,New England Patriots
7901,2014,14,68815.0,New England Patriots
7902,2014,15,68756.0,New England Patriots
7903,2014,16,78160.0,New England Patriots
7904,2014,17,68756.0,New England Patriots
7905,2014,1,70706.0,New Orleans Saints
7906,2014,2,67407.0,New Orleans Saints
7907,2014,3,73005.0,New Orleans Saints
7908,2014,4,91176.0,New Orleans Saints
7909,2014,5,73004.0,New Orleans Saints
7910,2014,6,67582.63539030563,New Orleans Saints
7911,2014,7,63271.0,New Orleans Saints
7912,2014,8,73146.0,New Orleans Saints
7913,2014,9,73663.0,New Orleans Saints
7914,2014,10,73129.0,New Orleans Saints
7915,2014,11,73073.0,New Orleans Saints
7916,2014,12,73373.0,New Orleans Saints
7917,2014,13,61916.0,New Orleans Saints
7918,2014,14,73006.0,New Orleans Saints
7919,2014,15,60996.0,New Orleans Saints
7920,2014,16,73164.0,New Orleans Saints
7921,2014,17,59952.0,New Orleans Saints
7922,2014,1,64401.0,New York Giants
7923,2014,2,78344.0,New York Giants
7924,2014,3,77462.0,New York Giants
7925,2014,4,80573.0,New York Giants
7926,2014,5,80307.0,New York Giants
7927,2014,6,69596.0,New York Giants
7928,2014,7,91028.0,New York Giants
7929,2014,8,67582.63539030563,New York Giants
7930,2014,9,77975.0,New York Giants
7931,2014,10,68352.0,New York Giants
7932,2014,11,80352.0,New York Giants
7933,2014,12,80520.0,New York Giants
7934,2014,13,64687.0,New York Giants
7935,2014,14,69143.0,New York Giants
7936,2014,15,77628.0,New York Giants
7937,2014,16,55851.0,New York Giants
7938,2014,17,79150.0,New York Giants
7939,2014,1,78160.0,New York Jets
7940,2014,2,78041.0,New York Jets
7941,2014,3,78160.0,New York Jets
7942,2014,4,78160.0,New York Jets
7943,2014,5,63471.0,New York Jets
7944,2014,6,78160.0,New York Jets
